UNITID,school_name,ig_followers,ig_following,ig_post_count,ig_is_verified,ig_avg_likes,ig_avg_comments,ig_avg_engagement,ig_posts_analyzed,ig_engagement_rate,tt_followers,tt_following,tt_total_likes,tt_video_count,tt_is_verified,tt_avg_views,tt_avg_likes,tt_avg_comments,tt_avg_shares,tt_avg_engagement,tt_engagement_rate,tt_videos_analyzed,yt_subscribers,yt_total_views,yt_video_count,yt_subscriber_count_hidden,yt_avg_views,yt_avg_likes,yt_avg_comments,yt_avg_favorites,yt_avg_duration_secs,yt_avg_tag_count,yt_avg_like_rate,yt_avg_comment_rate,yt_avg_favorite_rate,yt_avg_view_velocity,yt_avg_days_between_posts,yt_posting_consistency_std,yt_videos_per_month_6mo,yt_pct_hd,yt_pct_captioned,yt_pct_shorts,yt_pct_max_thumbnail,yt_avg_description_length,yt_median_views,yt_top_video_views,yt_view_std,yt_videos_analyzed,INSTNM,CITY,STABBR,SECTOR,INSTSIZE
121150,Pepperdine University,64828,539,1003,,1894.3,33.1,1927.4,12.0,2.9731,7943.0,130.0,148034.0,214.0,False,6740.7,282.6,2.5,22.0,307.0,4.5544,30.0,17000.0,5309233.0,1705.0,False,979.4,9.6,0.3,0.0,457.0,14.1,0.0225,0.0001,0.0,69.9,268.4,473.0,2.5,100.0,18.2,40.9,100.0,748.3,273.5,7268.0,1735.6,22.0,Pepperdine University,Malibu,CA,2.0,3.0
122755,University of Southern California,266305,819,2135,,6733.2,130.4,6863.6,12.0,2.5773,37887.0,185.0,441261.0,501.0,True,11874.1,878.5,11.9,46.5,936.9,7.8903,29.0,19600.0,5866053.0,1321.0,False,589.1,6.2,1.2,0.0,1401.8,0.4,0.013,0.0017,0.0,0.6,70.1,67.8,0.0,100.0,16.7,0.0,90.0,486.1,264.5,3095.0,799.9,30.0,San Jose State University,San Jose,CA,1.0,5.0
115961,Stanford University,1380737,209,2491,,2678.9,46.7,2725.6,12.0,0.1974,1156.0,20.0,4112.0,14.0,True,4303.2,293.8,4.4,14.6,312.9,7.2713,14.0,1060000.0,79204012.0,2917.0,False,1031.0,57.0,2.0,0.0,2174.0,2.0,0.0553,0.0019,0.0,1031.0,,,0.2,100.0,0.0,0.0,100.0,1142.0,1031.0,1031.0,,1.0,,,,,
115831,Santa Clara University,45084,940,3083,,1408.7,22.1,1430.8,12.0,3.1736,2392.0,66.0,21183.0,353.0,False,2070.4,42.2,0.8,2.9,45.9,2.217,30.0,4830.0,1397042.0,782.0,False,15418.4,0.3,0.0,0.0,128.2,0.7,0.0009,0.0,0.0,251.0,3.5,4.8,5.0,100.0,23.3,66.7,100.0,903.1,334.0,215598.0,45059.8,30.0,,,,,
117140,Loyola Marymount University,50432,611,3050,,922.3,17.4,939.8,12.0,1.8635,6660.0,76.0,119678.0,293.0,False,3622.3,163.6,3.8,21.7,189.1,5.2204,30.0,8920.0,9975531.0,467.0,False,30672.8,23.3,1.0,0.0,2396.4,11.0,0.0185,0.0005,0.0,182.0,12.4,16.7,1.5,96.7,33.3,13.3,93.3,481.5,821.0,821857.0,149759.4,30.0,University of La Verne,La Verne,CA,2.0,3.0
110486,California Institute of Technology,89701,228,1189,,428.4,7.0,435.4,12.0,0.4854,,,,,,,,,,,,,526.0,56626.0,418.0,False,45.9,2.1,0.3,0.0,234.9,0.0,0.0587,0.0032,0.0,2.0,1.0,1.5,3.7,100.0,0.0,18.2,77.3,691.0,40.0,171.0,39.3,22.0,California State University-Bakersfield,Bakersfield,CA,1.0,4.0
116206,University of San Diego,64,1,0,,,,,,,5697.0,45.0,261135.0,438.0,False,43878.2,4824.9,7.2,66.4,4898.6,11.1641,30.0,3190.0,767565.0,1090.0,False,128.7,1.7,0.0,0.0,385.7,3.0,0.0203,0.0,0.0,3.9,5.6,5.1,5.0,100.0,0.0,23.3,93.3,753.6,95.5,1187.0,206.1,30.0,,,,,
116175,University of San Francisco,49978,859,3360,,728.3,5.6,733.9,12.0,1.4684,1566.0,28.0,119398.0,55.0,False,26622.4,3826.0,11.6,139.6,3977.2,14.9393,30.0,8150.0,945837.0,162.0,False,828.5,11.2,0.0,0.0,986.0,2.0,0.0158,0.0,0.0,2.6,51.1,47.0,0.8,100.0,9.1,45.5,95.5,209.0,511.0,2629.0,778.2,22.0,,,,,
113155,Claremont McKenna College,14947,1583,2288,,142.9,1.3,144.2,12.0,0.9647,1293.0,31.0,19666.0,156.0,False,2494.2,75.4,2.3,7.0,84.7,3.3959,32.0,10000.0,2387148.0,985.0,False,1182.2,0.9,0.0,0.0,2102.0,4.6,0.0043,0.0,0.0,3.1,21.3,26.9,0.8,100.0,40.0,23.3,100.0,727.9,299.5,12695.0,2713.1,30.0,,,,,
115409,Pomona College,21750,172,2760,,451.5,4.1,455.6,12.0,2.0947,2156.0,151.0,26570.0,351.0,False,1728.4,85.5,1.2,7.8,94.4,5.4617,29.0,5890.0,1436407.0,530.0,False,639.4,13.2,0.4,0.0,149.6,0.8,0.023,0.0009,0.0,13.1,3.7,5.8,5.0,100.0,30.0,43.3,100.0,336.0,494.0,1781.0,431.6,30.0,Harvey Mudd College,Claremont,CA,2.0,1.0
114591,Occidental College,18135,857,3496,,617.7,11.0,628.7,12.0,3.4668,1734.0,26.0,53181.0,439.0,False,1556.6,80.7,0.5,5.7,86.9,5.5827,30.0,3180.0,1253731.0,528.0,False,672.1,10.2,0.6,0.0,190.6,0.5,0.0162,0.0023,0.0,13.0,5.1,9.2,5.0,100.0,33.3,13.3,100.0,261.2,568.5,1492.0,478.7,30.0,,,,,
111948,Chapman University,55816,282,1987,,882.0,20.5,902.5,12.0,1.6169,5997.0,50.0,232654.0,195.0,False,23500.8,442.7,14.6,32.5,489.8,2.0842,33.0,7590.0,1684038.0,457.0,False,1832.2,14.0,0.5,0.0,81.8,0.4,0.0119,0.001,0.0,16.5,5.0,7.0,5.0,100.0,6.7,26.7,100.0,232.0,464.5,35075.0,6332.5,30.0,Chapman University,Orange,CA,2.0,3.0
116977,Whittier College,10917,556,3002,,307.3,5.8,313.2,12.0,2.8689,,,,,,,,,,,,,1630.0,4222303.0,552.0,False,20543.2,9.4,0.0,0.0,559.9,2.6,0.0309,0.0,0.0,43.4,17.8,22.7,1.8,100.0,0.0,26.7,80.0,261.4,209.0,607771.0,110910.0,30.0,,,,,
109785,Azusa Pacific University,23109,166,2530,,195.0,9.0,204.0,12.0,0.8828,4085.0,16.0,65493.0,449.0,False,360791.7,260.8,0.7,14.2,275.7,0.0764,30.0,2140.0,404132.0,967.0,False,267.3,0.0,0.0,0.0,3320.3,7.0,0.0,0.0,0.0,11.7,5.5,10.5,5.0,100.0,0.0,0.0,100.0,242.0,85.0,5520.0,992.6,30.0,Azusa Pacific University,Azusa,CA,2.0,3.0
110097,Biola University,35765,117,2731,,1728.4,34.2,1762.6,12.0,4.9283,2118.0,15.0,28471.0,224.0,False,2696.8,199.8,1.7,4.3,205.8,7.6313,31.0,155000.0,33276778.0,3700.0,False,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,,,0.2,0.0,0.0,100.0,100.0,388.0,0.0,0.0,,1.0,Biola University,La Mirada,CA,2.0,3.0
168148,Boston University,243219,1808,3845,,2353.8,29.3,2383.2,12.0,0.9799,45932.0,147.0,920292.0,671.0,True,16036.1,926.1,10.9,56.8,993.8,6.1973,30.0,5770.0,2535756.0,4182.0,False,40.0,0.7,0.0,0.0,296.3,3.0,0.0169,0.0,0.0,33.2,0.0,0.0,0.5,100.0,0.0,0.0,100.0,0.0,40.0,41.0,1.0,3.0,Tufts University,Medford,MA,2.0,4.0
115755,Scripps College,12478,262,1146,,253.9,3.0,256.9,12.0,2.0588,,,,,,,,,,,,,4650.0,1401654.0,543.0,False,428.1,5.1,0.0,0.0,39.1,2.6,0.0148,0.0,0.0,5.1,2.6,3.7,5.0,100.0,0.0,96.7,100.0,126.3,303.0,1652.0,436.2,30.0,California State Polytechnic University-Humboldt,Arcata,CA,1.0,3.0
110592,California Lutheran University,13864,407,777,,315.1,4.0,319.1,12.0,2.3016,3152.0,15.0,83688.0,246.0,False,117959.1,303.1,1.0,11.5,315.6,0.2676,30.0,2220.0,9527963.0,298.0,False,804.1,7.5,0.0,0.0,57.3,3.8,0.0138,0.0,0.0,13.9,6.5,7.3,4.3,100.0,0.0,83.3,100.0,167.2,453.0,2039.0,717.3,30.0,California State University-Los Angeles,Los Angeles,CA,1.0,5.0
121691,University of Redlands,18279,762,2116,,312.8,5.2,318.0,12.0,1.7397,,,,,,,,,,,,,2440.0,3122022.0,914.0,False,171.8,3.3,0.1,0.0,3237.0,0.4,0.0179,0.0001,0.0,7.5,4.3,5.0,5.0,100.0,0.0,6.7,100.0,152.0,103.0,1087.0,206.5,30.0,University of Redlands,Redlands,CA,2.0,2.0
110635,UC Berkeley,416505,450,2879,,13652.5,109.5,13762.0,12.0,3.3042,32488.0,39.0,1129340.0,487.0,True,253810.4,22855.7,51.7,747.9,23655.3,9.3201,30.0,91.0,26386.0,14.0,False,1885.8,20.8,1.5,0.0,419.3,0.0,0.0173,0.0008,0.0,1.4,59.8,155.2,0.0,100.0,21.4,0.0,100.0,202.5,518.5,11704.0,3138.4,14.0,University of California-Berkeley,Berkeley,CA,1.0,5.0
110662,UCLA,509295,318,2336,,3058.8,68.2,3126.9,12.0,0.614,213578.0,133.0,3349910.0,809.0,True,464341.7,49033.9,268.4,993.0,50295.2,10.8315,30.0,410000.0,129780347.0,2501.0,False,19105.3,1608.7,228.0,0.0,686.3,35.0,0.0836,0.0122,0.0,5563.0,1.0,0.0,0.5,100.0,0.0,0.0,100.0,400.7,18028.0,25763.0,6189.7,3.0,University of California-Los Angeles,Los Angeles,CA,1.0,5.0
110680,UC San Diego,153583,383,2295,,6794.9,67.5,6862.4,12.0,4.4682,23333.0,95.0,1371766.0,862.0,False,50826.4,5556.9,47.0,431.1,6034.9,11.8736,30.0,7080.0,621438.0,835.0,False,393.7,4.8,1.4,0.0,2254.6,0.0,0.0107,0.0012,0.0,6.7,5.0,6.6,5.0,100.0,23.3,13.3,96.7,672.5,125.5,3788.0,797.7,30.0,University of California-San Diego,La Jolla,CA,1.0,5.0
110671,UC Davis,135419,426,4035,,2650.2,22.8,2673.1,12.0,1.9739,15092.0,131.0,658769.0,841.0,False,14763.4,1239.7,23.3,112.0,1375.0,9.3136,32.0,15000.0,1805198.0,763.0,False,1410.5,26.4,6.3,0.0,625.1,0.0,0.0149,0.0011,0.0,1.2,62.7,183.7,0.0,100.0,80.0,3.3,93.3,233.5,257.0,32482.0,5873.3,30.0,University of California-Riverside,Riverside,CA,1.0,5.0
